service_id,date,exception_type
69609-1111100-0,20190910,1
69609-1111100-0,20190911,1
69609-1111100-0,20191119,1
69609-1111100-0,20190918,1
69609-1111100-0,20190919,1
69609-1111100-0,20191010,1
69609-1111100-0,20191011,1
69609-1111100-0,20191220,1
69609-1111100-0,20191014,1
69609-1111100-0,20191015,1
69609-1111100-0,20191016,1
69609-1111100-0,20191017,1
69609-1111100-0,20191018,1
69609-1111100-0,20191114,1
69609-1111100-0,20191111,1
69609-1111100-0,20191113,1
69609-1111100-0,20191112,1
69609-1111100-0,20191115,1
69609-1111100-0,20191218,1
69609-1111100-0,20191118,1
69609-1111100-0,20200116,1
69609-1111100-0,20200117,1
69609-1111100-0,20200114,1
69609-1111100-0,20200115,1
69609-1111100-0,20191212,1
69609-1111100-0,20200113,1
69609-1111100-0,20200110,1
69609-1111100-0,20191211,1
69609-1111100-0,20190909,1
69609-1111100-0,20190903,1
69609-1111100-0,20190905,1
69609-1111100-0,20190904,1
69609-1111100-0,20190906,1
69609-1111100-0,20191202,1
69609-1111100-0,20191003,1
69609-1111100-0,20191002,1
69609-1111100-0,20191001,1
69609-1111100-0,20191007,1
69609-1111100-0,20191004,1
69609-1111100-0,20191009,1
69609-1111100-0,20191008,1
69609-1111100-0,20191125,1
69609-1111100-0,20200103,1
69609-1111100-0,20200102,1
69609-1111100-0,20191120,1
69609-1111100-0,20191121,1
69609-1111100-0,20200107,1
69609-1111100-0,20200106,1
69609-1111100-0,20200109,1
69609-1111100-0,20200108,1
69609-1111100-0,20191205,1
69609-1111100-0,20191129,1
69609-1111100-0,20191219,1
69609-1111100-0,20190930,1
69609-1111100-0,20191216,1
69609-1111100-0,20191029,1
69609-1111100-0,20191217,1
69609-1111100-0,20191204,1
69609-1111100-0,20191030,1
69609-1111100-0,20191031,1
69609-1111100-0,20191203,1
69609-1111100-0,20191213,1
69609-1111100-0,20191210,1
69609-1111100-0,20191230,1
69609-1111100-0,20191231,1
70242-1111100-0,20200408,1
70242-1111100-0,20200409,1
70242-1111100-0,20200529,1
70242-1111100-0,20200528,1
70242-1111100-0,20200527,1
70242-1111100-0,20200526,1
70242-1111100-0,20200323,1
70242-1111100-0,20200407,1
70242-1111100-0,20200325,1
70242-1111100-0,20200324,1
70242-1111100-0,20200327,1
70242-1111100-0,20200520,1
70242-1111100-0,20200414,1
70242-1111100-0,20200203,1
70242-1111100-0,20200206,1
70242-1111100-0,20200207,1
70242-1111100-0,20200204,1
70242-1111100-0,20200205,1
70242-1111100-0,20200129,1
70242-1111100-0,20200128,1
70242-1111100-0,20200127,1
70242-1111100-0,20200221,1
70242-1111100-0,20200415,1
70242-1111100-0,20200512,1
70242-1111100-0,20200513,1
70242-1111100-0,20200401,1
70242-1111100-0,20200511,1
70242-1111100-0,20200514,1
70242-1111100-0,20200515,1
70242-1111100-0,20200417,1
70242-1111100-0,20200416,1
70242-1111100-0,20200518,1
70242-1111100-0,20200519,1
70242-1111100-0,20200413,1
70242-1111100-0,20200410,1
70242-1111100-0,20200310,1
70242-1111100-0,20200311,1
70242-1111100-0,20200312,1
70242-1111100-0,20200313,1
70242-1111100-0,20200219,1
70242-1111100-0,20200218,1
70242-1111100-0,20200316,1
70242-1111100-0,20200317,1
70242-1111100-0,20200318,1
70242-1111100-0,20200214,1
70242-1111100-0,20200604,1
70242-1111100-0,20200605,1
70242-1111100-0,20200211,1
70242-1111100-0,20200210,1
70242-1111100-0,20200213,1
70242-1111100-0,20200212,1
70242-1111100-0,20200421,1
70242-1111100-0,20200319,1
70242-1111100-0,20200403,1
70242-1111100-0,20200602,1
70242-1111100-0,20200603,1
70242-1111100-0,20200505,1
70242-1111100-0,20200504,1
70242-1111100-0,20200507,1
70242-1111100-0,20200506,1
70242-1111100-0,20200501,1
70242-1111100-0,20200427,1
70242-1111100-0,20200424,1
70242-1111100-0,20200320,1
70242-1111100-0,20200428,1
70242-1111100-0,20200601,1
70242-1111100-0,20200508,1
70242-1111100-0,20200303,1
70242-1111100-0,20200302,1
70242-1111100-0,20200429,1
70242-1111100-0,20200306,1
70242-1111100-0,20200305,1
70242-1111100-0,20200304,1
70242-1111100-0,20200309,1
70242-1111100-0,20200522,1
70242-1111100-0,20200224,1
70242-1111100-0,20200225,1
70242-1111100-0,20200422,1
70242-1111100-0,20200227,1
70242-1111100-0,20200220,1
70242-1111100-0,20200521,1
70242-1111100-0,20200406,1
70242-1111100-0,20200326,1
70242-1111100-0,20200228,1
70242-1111100-0,20200226,1
70242-1111100-0,20200423,1
70242-1111100-0,20200430,1
70242-1111100-0,20200330,1
70242-1111100-0,20200331,1
70242-1111100-0,20200402,1
70242-1111100-0,20200420,1
70242-1111100-0,20200130,1
70242-1111100-0,20200131,1
7018525-0000100-25,20200605,1
7018525-0000100-25,20200522,1
7018525-0000100-25,20200529,1
6960931-1111100-31,20190911,1
6960931-1111100-31,20191029,1
6960931-1111100-31,20191028,1
6960931-1111100-31,20190920,1
6960931-1111100-31,20190927,1
6960931-1111100-31,20190926,1
6960931-1111100-31,20190925,1
6960931-1111100-31,20190924,1
6960931-1111100-31,20191021,1
6960931-1111100-31,20191023,1
6960931-1111100-31,20191022,1
6960931-1111100-31,20191024,1
6960931-1111100-31,20191108,1
6960931-1111100-31,20191101,1
6960931-1111100-31,20191106,1
6960931-1111100-31,20191107,1
6960931-1111100-31,20191104,1
6960931-1111100-31,20191105,1
6960931-1111100-31,20200123,1
6960931-1111100-31,20191205,1
6960931-1111100-31,20200121,1
6960931-1111100-31,20191220,1
6960931-1111100-31,20200124,1
6960931-1111100-31,20200107,1
6960931-1111100-31,20190916,1
6960931-1111100-31,20190917,1
6960931-1111100-31,20190912,1
6960931-1111100-31,20190913,1
6960931-1111100-31,20190910,1
6960931-1111100-31,20200122,1
6960931-1111100-31,20191014,1
6960931-1111100-31,20190918,1
6960931-1111100-31,20190919,1
6960931-1111100-31,20191119,1
6960931-1111100-31,20191015,1
6960931-1111100-31,20191016,1
6960931-1111100-31,20191017,1
6960931-1111100-31,20191018,1
6960931-1111100-31,20191114,1
6960931-1111100-31,20191113,1
6960931-1111100-31,20191112,1
6960931-1111100-31,20191115,1
6960931-1111100-31,20191218,1
6960931-1111100-31,20191219,1
6960931-1111100-31,20200116,1
6960931-1111100-31,20200117,1
6960931-1111100-31,20200114,1
6960931-1111100-31,20200115,1
6960931-1111100-31,20191212,1
6960931-1111100-31,20200113,1
6960931-1111100-31,20200110,1
6960931-1111100-31,20191211,1
6960931-1111100-31,20190909,1
6960931-1111100-31,20190903,1
6960931-1111100-31,20190905,1
6960931-1111100-31,20190904,1
6960931-1111100-31,20190906,1
6960931-1111100-31,20191003,1
6960931-1111100-31,20191002,1
6960931-1111100-31,20191001,1
6960931-1111100-31,20191007,1
6960931-1111100-31,20191004,1
6960931-1111100-31,20191203,1
6960931-1111100-31,20191202,1
6960931-1111100-31,20191120,1
6960931-1111100-31,20191121,1
6960931-1111100-31,20191122,1
6960931-1111100-31,20191206,1
6960931-1111100-31,20191209,1
6960931-1111100-31,20200108,1
6960931-1111100-31,20191118,1
6960931-1111100-31,20190930,1
6960931-1111100-31,20191216,1
6960931-1111100-31,20191217,1
6960931-1111100-31,20191204,1
6960931-1111100-31,20200109,1
6960931-1111100-31,20191030,1
6960931-1111100-31,20191031,1
6960931-1111100-31,20191213,1
6960931-1111100-31,20191210,1
696177-1111100-7,20190909,1
696177-1111100-7,20190903,1
696177-1111100-7,20190906,1
696177-1111100-7,20190923,1
696177-1111100-7,20191028,1
696177-1111100-7,20190920,1
696177-1111100-7,20190927,1
696177-1111100-7,20191021,1
696177-1111100-7,20191025,1
696177-1111100-7,20191108,1
696177-1111100-7,20191007,1
696177-1111100-7,20191004,1
696177-1111100-7,20191101,1
696177-1111100-7,20191104,1
696177-1111100-7,20191213,1
696177-1111100-7,20191125,1
696177-1111100-7,20200103,1
696177-1111100-7,20191202,1
696177-1111100-7,20191122,1
696177-1111100-7,20191206,1
696177-1111100-7,20191223,1
696177-1111100-7,20191220,1
696177-1111100-7,20191227,1
696177-1111100-7,20191129,1
696177-1111100-7,20200124,1
696177-1111100-7,20200106,1
696177-1111100-7,20190930,1
696177-1111100-7,20191209,1
696177-1111100-7,20190913,1
696177-1111100-7,20200117,1
696177-1111100-7,20191011,1
696177-1111100-7,20200120,1
696177-1111100-7,20191014,1
696177-1111100-7,20191118,1
696177-1111100-7,20191018,1
696177-1111100-7,20191111,1
696177-1111100-7,20200113,1
696177-1111100-7,20191115,1
696177-1111100-7,20191216,1
696177-1111100-7,20190916,1
696177-1111100-7,20191230,1
696177-1111100-7,20200110,1
7020527-1111100-27,20200408,1
7020527-1111100-27,20200409,1
7020527-1111100-27,20200529,1
7020527-1111100-27,20200528,1
7020527-1111100-27,20200527,1
7020527-1111100-27,20200526,1
7020527-1111100-27,20200406,1
7020527-1111100-27,20200407,1
7020527-1111100-27,20200401,1
7020527-1111100-27,20200402,1
7020527-1111100-27,20200403,1
7020527-1111100-27,20200414,1
7020527-1111100-27,20200203,1
7020527-1111100-27,20200206,1
7020527-1111100-27,20200207,1
7020527-1111100-27,20200204,1
7020527-1111100-27,20200205,1
7020527-1111100-27,20200129,1
7020527-1111100-27,20200128,1
7020527-1111100-27,20200127,1
7020527-1111100-27,20200415,1
7020527-1111100-27,20200512,1
7020527-1111100-27,20200513,1
7020527-1111100-27,20200511,1
7020527-1111100-27,20200514,1
7020527-1111100-27,20200515,1
7020527-1111100-27,20200417,1
7020527-1111100-27,20200416,1
7020527-1111100-27,20200518,1
7020527-1111100-27,20200519,1
7020527-1111100-27,20200413,1
7020527-1111100-27,20200410,1
7020527-1111100-27,20200310,1
7020527-1111100-27,20200311,1
7020527-1111100-27,20200312,1
7020527-1111100-27,20200313,1
7020527-1111100-27,20200219,1
7020527-1111100-27,20200218,1
7020527-1111100-27,20200316,1
7020527-1111100-27,20200504,1
7020527-1111100-27,20200318,1
7020527-1111100-27,20200319,1
7020527-1111100-27,20200317,1
7020527-1111100-27,20200211,1
7020527-1111100-27,20200507,1
7020527-1111100-27,20200213,1
7020527-1111100-27,20200212,1
7020527-1111100-27,20200506,1
7020527-1111100-27,20200505,1
7020527-1111100-27,20200210,1
7020527-1111100-27,20200422,1
7020527-1111100-27,20200423,1
7020527-1111100-27,20200420,1
7020527-1111100-27,20200421,1
7020527-1111100-27,20200501,1
7020527-1111100-27,20200427,1
7020527-1111100-27,20200424,1
7020527-1111100-27,20200320,1
7020527-1111100-27,20200428,1
7020527-1111100-27,20200601,1
7020527-1111100-27,20200508,1
7020527-1111100-27,20200303,1
7020527-1111100-27,20200302,1
7020527-1111100-27,20200429,1
7020527-1111100-27,20200306,1
7020527-1111100-27,20200305,1
7020527-1111100-27,20200304,1
7020527-1111100-27,20200309,1
7020527-1111100-27,20200522,1
7020527-1111100-27,20200224,1
7020527-1111100-27,20200225,1
7020527-1111100-27,20200226,1
7020527-1111100-27,20200227,1
7020527-1111100-27,20200220,1
7020527-1111100-27,20200221,1
7020527-1111100-27,20200520,1
7020527-1111100-27,20200228,1
7020527-1111100-27,20200430,1
7020527-1111100-27,20200330,1
7020527-1111100-27,20200331,1
7020527-1111100-27,20200130,1
7020527-1111100-27,20200131,1
7020527-1111100-27,20200521,1
69690-0000001-0,20190908,1
69690-0000001-0,20190901,1
69690-0000001-0,20190922,1
69690-0000001-0,20190915,1
69690-0000001-0,20191222,1
69690-0000001-0,20191020,1
69690-0000001-0,20190929,1
69690-0000001-0,20191027,1
69690-0000001-0,20191201,1
69690-0000001-0,20191013,1
69690-0000001-0,20191006,1
69690-0000001-0,20191103,1
69690-0000001-0,20191117,1
69690-0000001-0,20191110,1
69690-0000001-0,20191124,1
69690-0000001-0,20191229,1
69690-0000001-0,20200105,1
69690-0000001-0,20200119,1
69690-0000001-0,20191208,1
69690-0000001-0,20191215,1
69690-0000001-0,20200112,1
70244-0000001-0,20200308,1
70244-0000001-0,20200419,1
70244-0000001-0,20200329,1
70244-0000001-0,20200510,1
70244-0000001-0,20200426,1
70244-0000001-0,20200517,1
70244-0000001-0,20200503,1
70244-0000001-0,20200405,1
70244-0000001-0,20200524,1
70244-0000001-0,20200531,1
70244-0000001-0,20200301,1
70244-0000001-0,20200209,1
70244-0000001-0,20200315,1
70244-0000001-0,20200202,1
70244-0000001-0,20200216,1
70244-0000001-0,20200412,1
70244-0000001-0,20200223,1
70244-0000001-0,20200322,1
70244-0000001-0,20200126,1
70188-0000010-0,20200502,1
70188-0000010-0,20200328,1
70188-0000010-0,20200516,1
70188-0000010-0,20200425,1
70188-0000010-0,20200321,1
70188-0000010-0,20200314,1
70188-0000010-0,20200523,1
70188-0000010-0,20200411,1
70188-0000010-0,20200208,1
70188-0000010-0,20200307,1
70188-0000010-0,20200606,1
70188-0000010-0,20200509,1
70188-0000010-0,20200201,1
70188-0000010-0,20200530,1
70188-0000010-0,20200215,1
70188-0000010-0,20200418,1
70188-0000010-0,20200222,1
70188-0000010-0,20200229,1
70188-0000010-0,20200404,1
696179-1111100-9,20190906,1
696179-1111100-9,20190920,1
696179-1111100-9,20190927,1
696179-1111100-9,20190913,1
696179-1111100-9,20191025,1
696179-1111100-9,20191011,1
696179-1111100-9,20191108,1
696179-1111100-9,20191004,1
696179-1111100-9,20191018,1
696179-1111100-9,20191101,1
696179-1111100-9,20191129,1
696179-1111100-9,20191115,1
696179-1111100-9,20200103,1
696179-1111100-9,20191122,1
696179-1111100-9,20191206,1
696179-1111100-9,20200117,1
696179-1111100-9,20191220,1
696179-1111100-9,20191227,1
696179-1111100-9,20191213,1
696179-1111100-9,20200110,1
696179-1111100-9,20200124,1
70256-0000001-0,20200525,1
